name,address,eva,star,price
HF 基隆 (HF Keelung),"北寧路 398 號, 基隆市, 202, 台灣",no evaluation,2.5 星級,9097
福容大飯店 - 桃園機場捷運 A8 (Fullon Hotel Taoyuan Airport Access MRT A8),"復興一路 2 號, 桃園市, 33380, 桃園縣, 台灣",9.2,4 星級,2337
愛之屋民宿 (Love House Inn),"館前西路 213 巷 6 號, 新北市, 220, 台灣",7.6,2.5 星級,1237
新驛旅店 - 復興北路店 (Cityinn Hotel Plus Fuxing N.Rd. Branch),"中山區復興北路 338 號, 台北市, 104, 台灣",9.2,3.5 星級,1662
仲信商務會館 (The Koos Hotel),"中興路 3 段 219-2 號, 新北市, 231, 台灣",7.4,3.5 星級,1968
承億文旅－淡水吹風 (Hotel Day Plus Tamsui),"淡水區沙崙路 27 號, 新北市, 251, 台灣",8.4,3.5 星級,2433
西門日記旅店 (Diary of Ximen),"中華路一段 90 號 12 樓, 台北市, 108, 台灣",7.8,3 星級,1368
艾蔓精緻旅館 - 淡水館 (Amain Boutique Motel Danshui),"淡水區八勢一街85號, 新北市, 251, 台灣",8.4,3.5 星級,2251
台北西門町意舍 (amba TAIPEI XIMENDING),"武昌街二段 77 號, 台北市, 108, 台灣",9.0,4 星級,1080
城市商旅 - 北門館 (City Suites - Beimen),"大同區長安西路 265 號, 台北市, 10341, 台灣",8.6,3.5 星級,935
文林居 (Family House),"士林區福榮街 13 號, 台北市, 111, 台灣",6.6,3 星級,701
板橋凱撒大飯店 (Caesar Park Hotel Banqiao),"縣民大道二段 8 號, 新北市, 220, 台灣",8.8,4.5 星級,2814
維多麗亞酒店 (Grand Victoria Hotel),"敬業四路168號, 台北市, 104, 台灣",8.8,4.5 星級,2566
老爺大酒店 (Hotel Royal-Nikko Taipei),"中山北路二段 37-1 號, 台北市, 104, 台灣",9.2,4.5 星級,2727
馥都飯店 (Grand Forward Hotel),"板橋區縣民大道一段 189 號, 新北市, 220, 台灣",9.2,3.5 星級,2034
樂頤飯店-蘆洲台北 (Lacle Hotel-Luzhou Taipei),"蘆洲區集賢路 402 號, 新北市, 247, 台灣",9.2,3.5 星級,1527
東驛商務旅館 (E House Hotel),"昆明街76號8樓, 台北市, 108, 台灣",7.4,3 星級,866
香城大飯店松山店 (Charming City Sungshan Hotel),"市民大道六段67號, 台北市, 105, 台灣",7.8,3.5 星級,1455
天使輕旅礁溪溫泉 (Angels Inn Jiaoxi Hotspring),"礁溪路六段 12 號, 礁溪鄉, 26241, 宜蘭縣, 台灣",7.8,3 星級,1608
翰品酒店-新莊 (Chateau de Chine Xinzhuang),"中正路82號, 新北市, 24243, 台灣",9.0,4 星級,2698
日光涵館民宿 (Windsor's Sunlight Han-Guan),"九份基山街 200 號, 新北市, 224, 台灣",8.4,3 星級,3781
優美飯店 - 捷運雙連站 (Yomi Hotel - MRT Shuanglian Station),"民生東路一段 28 號, 台北市, 104, 台灣",8.4,3 星級,1299
洛碁大飯店建北館 (Green World JianPei),"建國北路一段 140 號, 台北市, 104, 台灣",8.2,3.5 星級,1820
新加州景觀旅館 (New California Hotel),"北新路一段1號, 新北市, 231, 台灣",8.6,3.5 星級,3261
甲山林湯旅 (JSL HOTEL),"興安街 62 號, 台北市, 10491, 台北市, 台灣",8.8,3.5 星級,2636
丹迪旅店大安森林公園店 (Dandy Hotel Daan Park Branch),"信義路三段 33 號, 台北市, 106, 台灣",9.2,3 星級,1558
洛碁大飯店南京館 (Green World Grand NanJing),"南京東路三段 8 號, 台北市, 104, 台灣",8.8,4 星級,1664
台北神旺大飯店 (San Want Hotel Taipei),"忠孝東路四段 172 號, 台北市, 106, 台北市, 台灣",8.0,4 星級,1645
兄弟大飯店 (Brother Hotel),"南京東路三段 255 號, 台北市, 10550, 台灣",9.0,4 星級,1823
能量旅店 - 台北西門館 (Energy Inn),"康定路 25 巷 38 號, 台北市, 10843, 台灣",9.4,3 星級,1152
瑞格商務會館 (Regal Executive Suites),"松山區復興北路 307 號, 台北市, 105, 台灣",6.2,3 星級,1565
北投水紗蓮商務飯店 (Lotus Hotel),"中山路 1-2 號, 台北市, 112, 台灣",8.0,3 星級,1402
大埔硫磺溫泉商旅 (Dapu-hotel),"加投路 205-5 號, 新北市, 207, 台灣",8.6,3 星級,2289
藝宿商旅-台北館 (Yi Su Hotel Taipei),"重慶北路一段 116 號, 台北市, 10350, 台灣",7.6,3.5 星級,935
老爺會館台北南西 - 捷運中山站 (Royal Inn Taipei Nanxi - MRT Zhongshan Station),"南京西路 1 號 8 樓, 台北市, 104, 台灣",8.6,3.5 星級,1981
美麗殿商旅-板橋館 (Merryday Hotel Banqiao Branch),"府中路 67 號, 新北市, 22055, 台灣",8.2,3 星級,1327
洛碁大飯店南港館 (Green World NanGang Hotel),"忠孝東路七段 528 號, 台北市, 115, 台灣",8.6,3.5 星級,2323
慕居行旅 (Members Hotel at Taipei 101),"信義區基隆路二段 22 號 5 樓, 台北市, 110, 台北市, 台灣",8.4,3 星級,1211
方舟旅店 - 長安復興館 (ARK Hotel-Chang'an Fuxing),"長安東路二段 246 號 3 樓, 台北市, 104, 台灣",8.4,2.5 星級,1455
城市商旅 - 台北南西館 (City Suites Taipei Nanxi),"南京西路169號, 台北市, 103, 台灣",8.4,4 星級,2057
初見輕旅 (CJ Hotel),"忠孝西路二段 38 號, 台北市, 108, 台灣",8.2,3 星級,1325
阿樹國際旅店 (arTree hotel),"松山區八德路三段 76 號, 台北市, 10559, 台灣",9.0,4 星級,2124
台北馥敦飯店 - 復南館 (Taipei Fullerton Hotel-South),"復興南路二段 41 號, 台北市, 106, 台灣",8.6,4 星級,2590
清翼居旅店 - 采風館 (Morwing Hotel - Culture Vogue),"南陽街 8 號 5 樓, 台北市, 100, 台灣",8.4,3 星級,1163
台北花園大酒店 (Taipei Garden Hotel),"中華路二段 1 號, 台北市, 10065, 台灣",8.4,4.5 星級,2494
首都大飯店 - 松山館 (Capital Hotel Songshan),"八德路四段 658 號, 台北市, 10566, 台灣",8.0,3.5 星級,1255
台北北門世民酒店 (citizenM Taipei North Gate),"中華路一段 3 號, 台北市, 100-43, 台灣",8.8,4 星級,1595
台北首都唯客樂飯店 (Waikoloa Hotel),"長春路187號, 台北市, 104, 台灣",8.6,3.5 星級,1762
安盛商務旅館 (Hotel 20 Alley),"新店區二十張路 31 號, 新北市, 231, 新北市, 台灣",8.2,3 星級,1494
洛碁中華大飯店 (Green World Hotel Zhonghua),"中華路一段 41 號 13 樓, 台北市, 10042, 台灣",8.2,3.5 星級,1194
東驛商旅西寧館 (E-House),"西寧南路 155 號 3 樓, 台北市, 10844, 台灣",7.0,3 星級,779
